U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:08.391
48,00V;48,01V;6,00A;0,07A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:08.491
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:08.591
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:08.699
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:08.806
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:08.898
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:08.991
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:09.099
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:09.193
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:09.300
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:09.395
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:09.505
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:09.599
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:09.695
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:09.804
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:09.898
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:09.992
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:10.102
48,00V;48,01V;6,00A;0,08A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:10.194
48,00V;48,01V;6,00A;0,07A;350W;4W;N/A;N/A;Off;On;CV;None;13.01.2026 19:15:10.303
